start,endpoint,dig_status
vesting.mindnetwork.xyz.,0acb0e12104dd772.vercel-dns-016.com.,NOERROR
auth-iguana-cd-vfhhjmyjsnmfn5js.edge.tenants.navex-dev.auth0app.com.,ingress.navex-dev.auth0app.com.cdn.cloudflare.net.,NOERROR
test-courtsecurity.txcourts.gov.,part-0007.t-0009.fb-t-msedge.net.,NOERROR
admission.msmary.edu.,cluster.technolutions.net.,NOERROR
australia.perfectgymcdn.com.,part-0007.t-0009.fb-t-msedge.net.,NOERROR
api-alb.cpq.dev.eai.hitachivantara.com.,apiexternalalb-cpqdev-177937183.us-west-2.elb.amazonaws.com.,NOERROR
dogpelganger.jtbc.co.kr.,cname.vercel-dns.com.,NOERROR
resources.hawthornfc.com.au.,a1855.dscr.akamai.net.,NOERROR
www.cmtv.com.ar.,cmtv.com.ar.,NOERROR
se.mail.intheswim.com.,cname.cordial.com.,NOERROR
account.shopaarel.com.,shops.myshopify.com.,NOERROR
jobmart.aahpm.org.,cname.boxwoodtech.com.,NOERROR
covideo01.icocofun.com.,edge.global.jns.swiftserve.com.,NOERROR
registration.degiro.nl.,registration-degiro-nl.ax4z.com.,NOERROR
imgs.captcha.boxcdn.net.,imgs.captcha.boxcdn.net.cdn.cloudflare.net.,NOERROR
autodiscover.ndlegis.gov.,autod.ms-acdc-autod.office.com.,NOERROR
info.secureworld.io.,group6.sites.hscoscdn00.net.,NOERROR
pregnancyregistry.madrigalpharma.com.,ctsapplicationloadbalncer-463056144.us-east-1.elb.amazonaws.com.,NOERROR
www.yair.es.,yair.es.,NOERROR
cs.museumpass.istanbul.,ani.tdn.gtranslate.net.,NOERROR
dxacademy.finddx.org.,app.360learning.com.,NOERROR
news.test3.asgardia.space.,gate.asgardia.space.,NOERROR
immo.puls24.at.,puls24-at-marketing-network.justimmo.at.,NOERROR
www.excellent.co.id.,excellent.co.id.,NOERROR
www.forum.simplenote.com.,simplenote.com.,NOERROR
hostmaster.8x8.co.uk.,dns-default.8x8.com.,NOERROR
redesign.crypto-games.io.,cname.vercel-dns.com.,NOERROR
weglokoksenergia.logintrade.net.,logintrade.net.,NOERROR
email.send.lazyone.com.,mailgun.org.,NOERROR
y3618.com.,wepinana.cdnfree.org.,NOERROR
helpdesk.protemio.ro.,3333dddb194558264bb5a35995b4aef1.freshdesk.com.,NOERROR
portainer.asgardia.space.,gate.asgardia.space.,NOERROR
sentry.asgardia.space.,gate.asgardia.space.,NOERROR
rc.rarediseasesnetwork.org.,shibprod.rarediseasesnetwork.org.,NOERROR
group21.sites.hubspot.net.,ngx-iad02-ba3d95-1664403419.us-east-1.elb.amazonaws.com.,NOERROR
sucursales.planvital.cl.,prod-planvital-client.partoo-store-locator.co.,NOERROR
static.awkwardfamilyphotos.com.,afp.cdnpress.com.,NOERROR
fl.thereadingleague.org.,thereadingleague.org.,NOERROR
kessel-ws.parsecgaming.com.,kessel-ws.parsecgaming.com.cdn.cloudflare.net.,NOERROR
app---df5ba091.base44.app.,gcp-us-west1-1.origin.onrender.com.cdn.cloudflare.net.,NOERROR
go.pact.im.,pact-im.github.io.,NOERROR
accesscontrol-mtkhait3win0x-api.midaticket.com.,mtkhait3ab.midaticket.net.,NOERROR
recrutamento.maxmat.pt.,rmk55.jobs2web.com.,NOERROR
api.expodat.com.,ddos.expodat.com.,NOERROR
customdomains.oktapreview.com.,op-crtr-tls1-nlb-b2a68736d40ebadf.elb.us-east-1.amazonaws.com.,NOERROR
123p.beyondtheflag.com.,c.123p.beyondtheflag.com.,NOERROR
dev-www.azoresairlines.pt.,sata-dev-agw01.westeurope.cloudapp.azure.com.,NOERROR
event.magnite.com.,d.sni.global.fastly.net.,NOERROR
jmt17.google.ae.,www3.l.google.com.,NOERROR
agp.profamilia.org.co.,py11-loadbalancerproyecto11-1606489483.us-east-1.elb.amazonaws.com.,NOERROR
mail.publicidad.cmtv.com.ar.,publicidad.cmtv.com.ar.,NOERROR
agamefun.casino-vulcan-royal.com.,casino-vulcan-royal.com.,NOERROR
dxgeomap.finddx.org.,waws-prod-zrh-003.switzerlandnorth.cloudapp.azure.com.,NOERROR
preview-uat-pdp.sony.it.,e92578.dsca.akamaiedge.net.,NOERROR
links.digitalsport.com.ar.,suite16.emarsys.net.,NOERROR
appm.expodat.com.,lb.expodat.com.,NOERROR
poker-staging.pokerstars.de.,e202909.b.akamaiedge.net.,NOERROR
res.yobilive.com.,bd-l7-online-oversea-v4.s.vedcdnlb.com.,NOERROR
imsuat76.aahpm.org.,part-0007.t-0009.fb-t-msedge.net.,NOERROR
www.test.production.adidas.co.,commcloud.prod-aaxc-adidas-co.cc-ecdn.net.cdn.cloudflare.net.,NOERROR
www.dagensnamn.nu.,dagensnamn.nu.,NOERROR
mail.bahagia77ads29.pro.,bahagia77ads29.pro.,NOERROR
www.nauticexpo.it.,www.nauticexpo.it.cdn.cloudflare.net.,NOERROR
prod-portal.hawthornfc.com.au.,d17jh17fm2lj3l.cloudfront.net.,NOERROR
me.thereadingleague.org.,thereadingleague.org.,NOERROR
tracks.mypacktrack.com.,mypacktrack.com.,NOERROR
concierge.sony.it.,e165054.dsca.akamaiedge.net.,NOERROR
vbd.finddx.org.,waws-prod-zrh-019-1258.switzerlandnorth.cloudapp.azure.com.,NOERROR
email.mail.tipping.hawthornfc.com.au.,mailgun.org.,NOERROR
projetos.marciatravessoni.com.br.,pages.rdstation.com.br.,NOERROR
cdn4.bollywoodxxx.pro.,7288037.cdnbay.com.,NOERROR
autodiscover.maxmat.pt.,autod.ms-acdc-autod.office.com.,NOERROR
demo3.expodat.com.,lb.expodat.com.,NOERROR
